2015-12-09 20:33:37,422 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.zerock:controller:1.0.0-BUILD-SNAPSHOT @ D:\1. Work\KOIWARE\학습\남가람북스\ex02\pom.xml.
2015-12-09 20:33:40,022 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 20:33:40,030 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2015-12-09 20:33:40,061 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 20:33:40,063 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-09 20:34:00,169 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 20:34:00,182 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2015-12-09 20:34:00,237 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-09 20:34:00,241 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-10 10:50:18,440 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.zerock:controller:1.0.0-BUILD-SNAPSHOT @ D:\1. Work\KOIWARE\학습\남가람북스\ex02\pom.xml.
2015-12-10 10:50:45,421 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-10 10:50:45,429 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2015-12-10 10:50:45,467 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-10 10:50:45,470 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-12-10 13:30:41,794 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-10 13:30:41,799 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-10 13:30:41,801 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-10 13:30:41,803 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
